TABLE_NAME,COLUMN_NAME,COLUMN_TYPE,IS_NULLABLE,COLUMN_KEY,EXTRA
branches,branch_code,varchar(20),NO,PRI,
branches,branch_type,"enum('Pure_CSE','AI_Specialized','Core','ECE','Other')",NO,,
college_branches,college_branch_id,bigint,NO,PRI,auto_increment
college_branches,college_id,bigint,NO,MUL,
college_branches,branch_code,varchar(20),NO,MUL,
college_branches,highest_package,varchar(50),YES,,
college_branches,avg_package,varchar(50),YES,,
college_metadata,college_id,bigint,NO,PRI,
college_metadata,placement_percent,"decimal(5,2)",YES,,
college_metadata,hostel_available,tinyint(1),YES,,
college_metadata,hostel_fee_approx,"decimal(10,2)",YES,,
college_metadata,total_fees_approx,"decimal(10,2)",YES,,
college_metadata,naac_grade,varchar(10),YES,,
college_metadata,last_updated,date,YES,,DEFAULT_GENERATED
college_metadata,data_source,varchar(100),YES,,
colleges,college_id,bigint,NO,PRI,auto_increment
colleges,instcode,varchar(50),NO,UNI,
colleges,name,varchar(300),NO,,
colleges,type,varchar(20),YES,MUL,
colleges,inst_reg,varchar(10),YES,,
colleges,district,varchar(100),NO,MUL,
colleges,place,varchar(100),YES,,
colleges,coed,varchar(10),YES,,
colleges,affl,varchar(50),YES,,
colleges,estd,int,YES,,
colleges,a_reg,varchar(20),YES,,
cutoffs,cutoff_id,bigint,NO,PRI,auto_increment
cutoffs,college_branch_id,bigint,NO,MUL,
cutoffs,year,year,NO,MUL,
cutoffs,category,varchar(20),NO,MUL,
cutoffs,cutoff_rank,int,YES,,
